Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0141","Soya beans","2008","2008","t","96281","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0141","Soya beans","2008","2008","1000 USD","40088","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0141","Soya beans","2008","2008","t","24499491","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0141","Soya beans","2008","2008","1000 USD","13286171","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0141","Soya beans","2009","2009","t","99412","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0141","Soya beans","2009","2009","1000 USD","38085","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0141","Soya beans","2009","2009","t","28562707","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0141","Soya beans","2009","2009","1000 USD","11424283","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0141","Soya beans","2010","2010","t","117840","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0141","Soya beans","2010","2010","1000 USD","44792","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0141","Soya beans","2010","2010","t","29073200","X","Figure from international organizations","Estimated data using trading partners database"
