Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2007","2007","t","31124.76","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2008","2008","t","36307.31","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2009","2009","t","36568.64","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2010","2010","t","43991.98","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2011","2011","t","28902.83","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2012","2012","t","35754.82","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2013","2013","t","44181.5","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2014","2014","t","35549.78","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2015","2015","t","43912.01","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2016","2016","t","49063.66","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2017","2017","t","39134.17","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2018","2018","t","36651.53","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2019","2019","t","38491.12","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2020","2020","t","29881.11","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2021","2021","t","39736.1","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","430005.21","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","411407.94","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","416851.04","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","417758.24","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","425015.71","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","388275.15","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","392810.67","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","400068.15","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","379202.92","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","358337.7","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","374818.2","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","391298.7","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","407779.2","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","418673.92","E","Estimated value",""
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","413134.78","E","Estimated value",""
