Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2015","2015","100 g/ha","30286","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2015","2015","t","97464936","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2016","2016","ha","33183119","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2016","2016","100 g/ha","29049","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2016","2016","t","96394820","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2017","2017","ha","33959879","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2017","2017","100 g/ha","33785","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2017","2017","t","114732101","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2018","2018","ha","34777936","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2018","2018","100 g/ha","33904","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2018","2018","t","117912450","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2019","2019","ha","35895207","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2019","2019","100 g/ha","31847","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2019","2019","t","114316829","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2020","2020","ha","37191638","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2020","2020","100 g/ha","32755","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2020","2020","t","121820949","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2021","2021","ha","39126269","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2021","2021","100 g/ha","34452","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2021","2021","t","134799179","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2000","2000","ha","1138687","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0111","Wheat","2000","2000","100 g/ha","15156","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2000","2000","t","1725792","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2001","2001","ha","1727492","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0111","Wheat","2001","2001","100 g/ha","19488","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2001","2001","t","3366599","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2002","2002","ha","2104900","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0111","Wheat","2002","2002","100 g/ha","14754","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2002","2002","t","3105660","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2003","2003","ha","2560230","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0111","Wheat","2003","2003","100 g/ha","24035","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2003","2003","t","6153500","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2004","2004","ha","2807224","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0111","Wheat","2004","2004","100 g/ha","20728","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2004","2004","t","5818846","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2005","2005","ha","2360696","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0111","Wheat","2005","2005","100 g/ha","19735","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2005","2005","t","4658790","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2006","2006","ha","1560175","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0111","Wheat","2006","2006","100 g/ha","15927","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2006","2006","t","2484848","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2007","2007","ha","1853224","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0111","Wheat","2007","2007","100 g/ha","22199","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2007","2007","t","4114057","A","Official figure",""
